File,Drug,MP,APD90,APD90_SD,CL,CL_SD,dVdt,dVdt_SD,Peak,Amplitude,MP_Drug,APD90_Drug,APD90_Drug_SD,CL_Drug,CL_Drug_SD,dVdt_Drug,dVdt_Drug_SD,Peak_Drug,Amplitude_Drug
7_042921_1_alex_quinine,quinine,-56.1501487754634,121.67777777777776,3.185305768604668,364.86296296296297,10.550659033238887,6.360701479035141,0.33151122642675285,29.9839780270084,,-37.198443579766504,,,,,,,,
6_033121_3_alex_control,control,-38.730449378194805,,,,,,,,,-38.3947508964675,,,,,,,,
5_031221_2_alex_control,control,-62.0035095750362,172.54285714285714,3.2246921489938116,458.35714285714283,14.546725091385818,12.719338035886382,0.35039119525782797,37.637903410391296,,-62.72983901731891,163.08499999999998,3.50346614083824,495.9105263157895,19.350612522247197,15.078660257877392,0.3943692009941081,37.5768673228046,
3_021021_2_alex_control,control,-33.0968184939345,,,,,,,,,-77.7508201724269,,,,,,,,
6_040921_1_alex_quinidine,quinidine,-57.108415350576,120.76000000000002,2.0934182573007227,1827.35,185.38433725641434,10.099275196459876,0.1229616484376905,32.5780117494468,,-46.9581139848935,,,,,,,,
5_031721_3_alex_verapamil,verapamil,-40.5432211795223,,,,,,,,,-23.6362249179827,,,,,,,,
7_042621_1_alex_quinine,quinine,-33.713282978561,,,,,,,,,-32.236209658960796,,,,,,,,
7_042621_6_alex_quinine,quinine,-56.839856565194104,177.15714285714284,5.08392156739277,471.58000000000004,11.989228498948542,14.827671146279457,1.037064500112198,39.4140535591668,,-37.064164187075605,329.875,167.46227000432066,,,,,8.236820019836701,
6_033121_2_alex_control,control,-60.4104676890211,143.98823529411763,3.8421627415912494,603.86875,53.062695450170075,14.83065627257993,0.4104716990067823,38.2299534599832,,-56.0341802090486,101.575,2.335817130399268,403.725,12.014479112027006,9.647364003967283,0.2591643165799919,28.8426031891355,
7_042021_2_alex_quinine,quinine,-46.482032501716596,58.875,0.9202581159652987,803.1416666666667,172.30901242793104,7.434195468070422,0.4751157844445295,24.8813611047531,,-36.990920881971405,63.95,4.1003048667141835,,,3.0945296406499905,0.0,11.1665522240024,
6_033021_4_alex_control,control,-62.8702220187686,431.68,12.840467281216839,1970.075,102.86426432439984,7.900999465934168,0.1485996978065355,37.3998626688029,,-49.777981231403,381.5142857142857,86.14073913529829,1546.6166666666666,195.2727615129383,5.018299926974636,0.316699150776716,31.5159838254368,
4_022621_2_alex_cisapride,cisapride,-53.714808880750695,93.3125,2.661971778588194,1304.6142857142856,255.73696547469257,12.063782711528109,0.26650151493462676,32.8831921873808,,-50.785076676585,181.92857142857142,271.81304349174434,1409.2166666666667,755.6276892241457,12.145483874483585,0.708557094443164,28.030823224231302,
4_022521_2_alex_cisapride,cisapride,-59.2751964599069,94.02758620689654,2.432665141535973,341.82142857142856,11.40257981908534,4.21439451938023,0.2776780303826633,23.1662470435645,,-46.323338673990904,134.76875,7.001001602449469,,,,,9.549095902952601,
6_040221_1_alex_quinidine,quinidine,-41.5442130159456,,,,,,,,,-23.361562523842203,,,,,,,,
4_022621_4_alex_cisapride,cisapride,-57.5661860074769,60.65833333333333,2.358833869144291,790.5583333333333,108.159114720962,11.760621159568224,0.4036729231870514,32.7489127946898,,-37.6745250629434,,,,,,,,
6_033021_5_alex_control,control,-56.711680781261904,149.9,3.3284756270701443,607.68125,160.3181922722356,13.163545299099196,0.6762349123089108,35.733577477683596,,-55.9548332951857,160.42857142857142,2.4773532068650645,460.86499999999995,21.03367003164213,11.923021867631556,0.294717816621288,35.587090867475396,
4_021921_2_alex_control,control,-60.7034409094377,149.13333333333333,4.78867297786024,420.495652173913,155.9721086500679,13.032908623890526,3.3798530551180885,32.8831921873808,,-57.981231403067,128.17666666666668,2.517231724644267,326.05,19.064272868378698,12.080164009874057,2.7129959582634875,31.0704203860532,
7_042721_4_alex_quinine,quinine,-65.18959334706639,90.55000000000001,4.533356761761835,291.76969696969695,10.867591097930076,7.606819885198258,0.4574150367098961,25.4612039368276,,-53.9833676661326,108.72068965517242,2.6349611408958036,,,,,8.291752498664799,
5_031821_1_alex_verapamil,verapamil,-49.3446250095368,134.75000000000003,3.314991201597172,1665.6,384.72367746214945,2.4047201241067087,0.43208771125387235,19.320973525597,,-39.182116426337004,,,,,,,,
7_042721_5_alex_quinine,quinine,-43.2715342946517,130.13684210526313,6.1718555195351605,512.4944444444444,43.892209789971986,4.226267201535504,0.6414322453405579,22.4887464713511,,-33.737697413595704,,,,,,,,
7_042721_2_alex_quinine,quinine,-56.412603952086606,105.36111111111111,7.50941179002049,567.0705882352942,190.80219435384438,12.494799216703463,0.6322185550415352,30.4539559014267,,-46.9703212024109,101.2,0.0,,,5.553063248645741,0.0,14.2244602121004,
4_021921_1_alex_control,control,-70.1701380941481,182.15714285714284,4.566917417019666,482.38,14.440450131488287,22.614248293351,1.6112858010397855,41.9958800640878,,-67.7531090257114,146.07619047619048,11.649030401585023,486.30526315789473,25.32736139942461,21.60219729915306,1.8912186667557747,38.1994354161898,
6_040821_2_alex_quinidine,quinidine,-56.6567483024338,124.8625,3.891958857696213,416.2260869565217,21.533961395519928,13.065995269703143,0.5623161921369577,33.4264133669032,,-49.4239719233997,143.14285714285714,5.492295159807871,1595.6666666666665,369.62143546547134,9.46049184913908,0.3355755393162186,31.5220874341954,
6_040621_3_alex_quinidine,quinidine,-26.9993133440146,,,,,,,,,-27.3472190432593,,,,,,,,
5_031621_1_alex_verapamil,verapamil,-53.7819485770962,137.86666666666665,2.264705033528394,3544.15,973.4500000000003,15.981282266473315,0.5826489135205584,40.1647974364843,,-51.224536507209805,,,,,,,,
7_042121_1_alex_quinine,quinine,-48.54505226215,90.01666666666667,2.6906731912705824,857.890909090909,175.2609299122854,5.070064342208929,0.5271797711006446,22.513160906385902,,-30.0694285496299,,,,,,,,
4_022421_1_alex_cisapride,cisapride,-51.609063859006596,48.594117647058816,2.7270907981681303,596.48125,120.01319833017325,4.6935674246809596,0.5110798713450064,19.8702983138781,,-35.1049057755398,,,,,,,,
4_022221_3_alex_cisapride,cisapride,-42.5391012436102,100.5875,2.753946032514073,306.55806451612904,9.47083040244976,5.450007629510909,0.39467220791067487,29.1660944533455,,-26.5110246433203,,,,,,,,
3_021121_1_alex_cisapride,cisapride,-73.46303501945519,81.2,0.0,,,33.09391927977413,0.0,28.7296864271,,-44.029907682917504,,,,,,,,
5_031521_2_alex_verapamil,verapamil,-44.272526131075,,,,,,,,,-35.959411001754695,,,,,,,,
6_040621_1_alex_quinidine,quinidine,-40.1342793926909,,,,,,,,,-32.3338673990997,,,,,,,,
5_031821_2_alex_verapamil,verapamil,-56.900892652780904,131.9923076923077,3.6073560610895177,773.425,49.23794480208667,13.15778415526635,0.22712132240809793,38.6144808117799,,-56.6201266498817,117.10000000000001,2.852484297356723,1695.5,516.4110649472956,6.483558403906225,0.23823778833645273,26.9748989089799,
5_031221_1_alex_control,control,-52.4147402151522,,,,,,,,,-55.9975585564965,,,,,,,,
7_042621_2_alex_quinine,quinine,-43.4790569924467,119.78181818181817,9.29514224858811,943.3875,196.91102963965727,3.6791197239812146,0.3730500483159245,16.8673228046082,,-25.302510109102,,,,,,,,
5_031521_4_alex_verapamil,verapamil,-49.4117647058823,113.69999999999999,3.1000000000000014,3073.4,0.0,5.60982681010138,0.2703898680094601,29.1050583657587,,-35.0133516441596,,,,,,,,
5_031121_3_alex_control,control,-50.4676890211337,,,,,,,,,-54.1237506675822,,,,,,,,
5_031521_3_alex_verapamil,verapamil,-57.004654001678404,72.7,1.2999999999999972,3074.4,0.0,5.781643396658209,0.60090028229193,23.6423285267414,,-44.650949874112996,,,,,,,,
6_040521_1_alex_quinidine,quinidine,-49.832913710231104,,,,,,,,,-33.1273365377279,,,,,,,,
5_031621_2_alex_verapamil,verapamil,-48.8990615701533,,,,,,,,,-46.4026855878538,,,,,,,,
